Trophic Amino Acid (i),"β (i-o), N","β (i-o), V","β (i-o), NV","TDF (i-o), j",TDF(i-o)
Glutamic acid (Glu),2.9,-8.7,-3.9,3.4,6.6
Alanine (Ala),2.8,-8,-3.6,2.5,6.8
Aspartic Acid (Asp),1.8,-7.3,-4.2,3.5,5.4*
Valine (Val),3.4,-6.8,-2.6,7.5,4.6
Proline (Pro),2.7,-7.7,-3.9,5.5,5
Data Source,Nielsen et al. 2015,Vander Zanden et al. 2013,This study,Germain et al. 2013,Nielsen et al. 2015
