Trophic Position,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6
Primary Consumer,0 (0.0),0 (0.35),0 (0.0),0 (0.0),9 (0.0),34 (0.10)
Secondary Consumer,55 (0.15),89 (0.24),94 (0.26),35 (0.10),43 (0.18),44 (0.13)
Tertiary Consumer,106 (0.29),114  (0.31),101 (0.28),115 (0.31),44 (0.70),43 (0.12)
