Amino Acid,Consumer,Baseline 1,Baseline 2,Baseline 3,Baseline 4
Glutamic Acid,Shrimp (primary consumer),0,0,0,0
Alanine,Shrimp (primary consumer),0,0,0,0
Proline,Shrimp (primary consumer),0,0,0,0
Valine,Shrimp (primary consumer),0,0,0,0
Glutamic Acid,Tuna (secondary consumer),0,0,0,0
Alanine,Tuna (secondary consumer),0,0,0,0
Proline,Tuna (secondary consumer),0,0,0,0
Valine,Tuna (secondary consumer),0,0,0,0
